idiom,num_contexts,contexts
Ser el pan de cada día,0,
Ser el tuerto en el país de los ciegos,0,
Ser el último de la fila,0,
Ser el último mono,0,
Ser flor de un día,0,
Ser harina de otro costal,0,
Ser la alegría de la huerta,0,
Ser la caña,0,
Ser la gallina de los huevos de oro,0,
Ser la gota que colma el vaso,0,
Ser la mano derecha de alguien,0,
Ser la manzana de la discordia,0,
Ser la manzana podrida del cesto,0,
Ser la media naranja,0,
Ser la oveja negra,0,
Ser la pera,0,
Ser mano de santo,0,
Ser más bueno que el pan,0,
Ser más claro que el agua,0,
Ser más falso que un billete de 1500,0,
Ser más feo que Picio,0,
Ser más largo que la cuaresma,0,
Ser más lento que una tortuga,0,
Ser más viejo que Matusalén,0,
Ser más viejo que un camino,0,
Ser miel sobre hojuelas,0,
Ser pan comido,0,
Ser papel mojado,0,
Ser pasto de las llamas,0,
Ser piel y huesos,0,
Ser rata de laboratorio,0,
